entity_id,entity_name,lat_dd_north,lon_dd_east,elev_m,hemisphere,depo_context,eco_id,chron_code,geo_id
364,Lac aux Atocas core,45.5428,-73.3108,114,north,sedlac,51,RPD_orig,36
365,Lac Caribou core,48.1978,-64.94,116,north,sedlac,48,RPD_orig,36
366,Lac Clo core,48.4969,-79.3528,280,north,sedlac,31,RPD_orig,36
367,Lac Daumont core,54.8828,-69.4028,607,north,sedlac,92,RPD_orig,36
368,Lac Delorme core,54.4239,-69.9297,538,north,sedlac,92,RPD_orig,36
369,Lac a Euloge core,49.2444,-65.3722,83,north,sedlac,48,RPD_orig,36
370,Lac Gabriel core,46.2758,-73.4758,250,north,sedlac,49,RPD_orig,36
371,Lac a Leonard core,49.2078,-65.8128,17,north,sedlac,48,RPD_orig,36
372,Lac a la Main core,47.7,-70.6222,730,north,sedlac,49,RPD_orig,36
373,Lac Martini core,47.475,-72.7647,242,north,sedlac,49,RPD_orig,36
374,Lac a la Montagne Ronde core,48.3208,-68.5653,150,north,sedlac,48,RPD_orig,36
375,Lac Ouellet core,47.5328,-68.9439,300,north,sedlac,48,RPD_orig,36
376,Lac Perdu core,49.1708,-66.3236,152,north,sedlac,48,RPD_orig,36
377,Pessiere_B,49.5,-79.24,280,north,sedlac,31,RPD_orig,36
378,Triangle core,48.71,-65.4139,465,north,sedlac,48,RPD_orig,36
379,Lac Flevy core,48.2169,-71.2189,381,north,sedlac,49,RPD_orig,36
425,Hidden core,40.51,-106.61,2710,north,sedlac,6,RPD_orig,227
427,South Fork Payette core,44.2,-115.5,1984,north,other,1,RPD_orig,227
428,NE Yellowstone National Park core,45,-110,2250,north,other,1,RPD_orig,227
429,East Lake core,37.17,-119.02,2863,north,sedlac,41,RPD_orig,227
447,Brenda Lake core,62.35,-119.19,207,north,sedlac,5,RPD_orig,36
449,Andy Lake core,61.95,-109.81,360,north,sedlac,58,RPD_orig,36
452,Jason core,61.68,-107.78,120,north,sedlac,58,RPD_orig,36
454,Corral Lake core,57.32,-100.85,75,north,sedlac,73,RPD_orig,36
456,Two Hill Lake core,55.98,-97.28,200,north,sedlac,73,RPD_orig,36
457,OK Lake core,54.8,-95.25,108,north,sedlac,73,RPD_orig,36
460,Lily Pond Warwick core,42.68,-72.33,269,north,sedlac,48,RPD_orig,227
461,Otter Pond core,42.65,-72.53,107,north,sedlac,48,RPD_orig,227
462,Aino Pond core,42.680759,-71.925514,354,north,sedlac,110,RPD_orig,227
464,Green Pond core,42.56,-72.51,80,north,sedlac,48,RPD_orig,227
465,LG4-01 core,54.0358,-72.8728,470,north,sedlac,92,RPD_orig,36
466,LG4-05 core,54.0633,-72.9153,350,north,sedlac,92,RPD_orig,36
467,LG4-06 core,54.075,-72.9419,365,north,sedlac,92,RPD_orig,36
468,LG4-09 core,54.9011,-72.7772,442,north,sedlac,92,RPD_orig,36
469,LG4-12 core,52.8428,-73.3164,534,north,sedlac,92,RPD_orig,36
480,Nelson Lake core,41.83278,-88.38,211,north,sedlac,10,RPD_orig,227
481,Chatsworth Bog core,40.67583,-88.32306,290,north,sedlac,10,RPD_orig,227
484,Lake Chignahuapan core,19.16,-99.53,2570,north,sedlac,114,RPD_orig,154
485,Lago Verde core,18.61,-95.34,149,north,sedlac,115,RPD_orig,154
487,Sacramento Mountains core,32.84,-105.7,2400,north,soil,11,RPD_orig,227
544,Crevice Lake core,45,-110.578,1713,north,sedlac,1,RPD_orig,227
704,Amont core,53.73,-74.38,335,north,sedswamp,92,RPD_orig,36
705,Aval core,53.41,-73.86,335,north,sedswamp,92,RPD_orig,36
706,Lac des Ilets core,48.19,-71.24,120,north,sedswamp,49,RPD_orig,36
779,Laguna Verde core,13.89,-89.78,1600,north,sedlac,149,RPD_orig,206
