Year,THW,WD,DIV,PIG,Gomez,JRIBAS,B40,NORUS_8_7,NORUS_7_2,B53,NORUS_7_5,NORUS_7_7,Aurora_Basin,W10,Illimani,D4,Summit2010,NEEM-2011-S1,Tunu2013,ACT11d,ACT2,NGT-B19,Humboldt,Flade-Isblink,Hans-Tausen,NasaU,Akademii-Nauk,Colle_Gnifetti,Upper-Fremont-Glacier,McCall-Glacier,Eclipse
1771,-999.0,39.4,-999.0,-999.0,-999.0,50.2,35.2,16.4,6.2,7.8,2.2,3.6,13.3,52.1,168.8,752.2,346.5,760.3,345.8,2388.3,-999.0,75.1,516.6,545.9,73.4,749.6,1493.4,1503.0,4746.2,-999.0,1763.9
1772,-999.0,21.2,-999.0,-999.0,-999.0,182.7,8.4,8.9,5.5,9.3,2.1,3.6,15.3,33.0,174.9,621.8,299.5,437.6,570.8,1118.1,-999.0,179.5,153.8,1383.6,136.3,626.2,1073.9,1462.5,1025.6,-999.0,1949.5
1773,-999.0,22.3,-999.0,-999.0,-999.0,45.0,13.6,19.0,3.7,8.4,2.1,3.5,19.1,12.3,301.1,254.1,434.4,355.3,587.9,272.9,831.8,204.3,1229.7,979.3,161.5,347.2,1592.1,270.0,1319.2,-999.0,2214.3
1774,-999.0,32.2,-999.0,-999.0,-999.0,59.6,15.3,9.0,10.2,15.4,1.7,4.3,12.7,24.6,205.8,373.6,162.5,668.6,116.3,408.3,274.7,210.1,219.6,864.8,376.4,974.0,955.4,1251.0,1144.3,-999.0,1028.6
1775,-999.0,23.4,-999.0,-999.0,-999.0,56.0,8.9,17.3,5.6,12.2,4.0,3.6,6.3,23.9,107.4,1054.4,462.7,331.9,142.0,697.3,621.0,183.8,267.0,554.1,225.6,391.2,772.1,1179.0,1005.2,-999.0,1265.1
1776,-999.0,31.1,-999.0,-999.0,-999.0,54.6,6.0,6.5,5.1,2.8,4.0,3.8,4.5,37.2,73.5,295.4,252.3,284.2,100.5,824.2,378.6,-999.0,258.1,541.8,159.0,398.0,1511.7,900.0,1936.3,-999.0,1516.0
1777,-999.0,20.1,-999.0,-999.0,-999.0,81.0,9.9,13.9,4.7,3.2,3.2,3.2,41.4,24.5,197.8,260.5,161.1,338.2,131.0,545.8,307.9,-999.0,239.3,1360.9,98.2,338.3,2274.0,1332.0,2110.4,-999.0,732.8
1778,-999.0,5.7,-999.0,-999.0,-999.0,59.2,7.6,15.3,6.7,3.0,2.9,2.7,22.4,12.7,199.2,483.0,312.8,335.3,153.6,445.1,172.5,-999.0,274.5,1815.3,155.4,-999.0,781.3,891.0,4764.3,-999.0,1979.6
1779,-999.0,18.4,-999.0,-999.0,-999.0,82.0,6.0,9.9,9.2,2.1,4.5,2.5,12.7,14.7,127.9,520.8,875.5,462.6,91.2,289.4,639.6,308.0,415.0,1151.7,258.2,-999.0,1008.5,967.5,3814.5,-999.0,347.1
1780,-999.0,15.8,-999.0,-999.0,-999.0,16.8,13.4,7.3,9.1,3.6,5.6,2.5,13.1,29.3,451.4,615.4,286.3,753.3,156.0,468.1,1123.9,238.7,1665.7,968.3,341.1,-999.0,692.6,450.0,3792.6,-999.0,715.5
1781,-999.0,16.5,-999.0,-999.0,-999.0,25.8,16.3,6.4,16.2,6.1,7.0,1.6,26.6,42.1,236.8,239.8,393.0,563.2,93.8,445.6,235.0,152.0,269.3,467.0,169.8,-999.0,1745.7,769.5,811.9,-999.0,249.8
1782,-999.0,24.0,-999.0,-999.0,-999.0,49.3,10.6,3.8,9.7,4.6,7.1,1.9,11.6,20.3,232.8,297.5,235.1,325.2,191.5,221.2,296.9,224.6,284.3,421.9,66.5,-999.0,2147.5,427.5,1384.3,-999.0,1085.2
1783,-999.0,38.3,-999.0,-999.0,-999.0,32.4,10.2,9.6,6.3,5.8,5.5,4.0,22.2,11.5,393.8,408.9,490.8,1039.1,88.6,663.3,796.9,151.9,630.5,1783.7,63.9,-999.0,1217.4,715.5,1576.7,-999.0,1978.9
1784,-999.0,24.2,-999.0,-999.0,-999.0,53.6,28.1,1.9,17.2,10.2,6.6,3.6,56.7,7.6,172.6,767.1,329.7,547.6,82.2,480.5,188.2,122.4,293.1,703.9,182.5,-999.0,1688.9,2443.5,1690.0,-999.0,926.7
1785,-999.0,18.5,93.8,-999.0,-999.0,62.7,31.5,18.9,11.2,9.2,6.9,3.4,51.7,28.5,157.8,517.7,309.1,442.7,99.5,329.7,486.0,115.4,239.1,987.5,163.7,-999.0,1087.4,589.5,-946.8,-999.0,1463.8
1786,-999.0,27.7,120.9,-999.0,-999.0,39.1,11.8,22.8,7.3,5.6,6.6,3.7,29.3,6.5,306.0,973.0,343.4,822.3,279.9,425.6,783.5,794.6,205.8,1338.1,108.2,301.9,6872.2,1165.5,-946.8,-999.0,915.4
1787,-999.0,15.5,79.0,-999.0,-999.0,80.1,16.9,34.1,12.0,4.6,11.7,3.3,22.4,12.6,135.7,583.7,235.9,440.6,98.0,262.4,778.4,105.1,168.7,600.9,70.3,114.9,951.7,1219.5,-946.8,-999.0,2401.2
1788,-999.0,11.1,105.1,-999.0,-999.0,19.8,16.1,20.3,15.9,4.7,11.1,2.4,24.9,16.4,163.4,488.1,288.6,507.7,167.1,232.7,294.7,73.9,683.0,966.7,90.7,873.5,1146.2,1030.5,978.0,-999.0,1202.6
1789,-999.0,40.1,119.8,-999.0,-999.0,52.8,16.2,6.6,14.8,7.0,6.6,6.0,50.1,55.4,407.7,371.8,293.2,1161.3,110.6,632.3,191.5,217.8,2314.2,1409.3,161.6,145.6,2149.5,351.0,1146.7,-999.0,1852.3
1790,-999.0,16.4,46.8,-999.0,-999.0,45.4,16.1,20.6,13.6,6.0,3.2,5.4,12.4,59.4,265.6,336.5,350.4,511.0,92.6,168.7,201.8,149.6,236.5,1004.6,102.6,882.7,1453.1,922.5,5539.1,-999.0,4754.7
1791,-999.0,24.2,66.4,-999.0,-999.0,56.2,16.1,4.8,11.4,4.2,3.8,4.6,17.6,35.8,260.6,311.4,336.3,472.7,53.1,-999.0,342.4,177.2,188.6,705.0,116.9,524.5,1267.4,540.0,3406.4,-999.0,1585.1
1792,-999.0,17.4,118.5,-999.0,-999.0,51.1,11.5,33.7,7.2,5.0,4.2,5.0,20.3,148.8,268.9,919.1,318.0,1177.7,142.7,446.3,503.8,261.9,245.0,606.8,253.1,2118.2,2538.7,549.0,973.0,-999.0,2361.6
1793,-999.0,13.9,56.6,-999.0,-999.0,31.8,19.5,20.6,11.4,6.8,5.3,3.4,10.7,23.9,216.3,317.0,436.6,1727.6,116.8,937.5,263.1,51.7,5995.9,748.4,247.6,1182.4,1926.2,1008.0,562.8,-999.0,2197.6
1794,-999.0,21.1,67.7,-999.0,-999.0,38.6,24.3,8.9,12.4,7.4,5.5,4.0,10.0,10.8,148.7,4033.5,616.1,1096.9,84.7,468.0,747.4,49.7,4425.4,1111.3,140.0,252.9,1275.5,841.5,-946.8,-999.0,1527.1
1795,-999.0,27.4,81.6,-999.0,-999.0,44.7,16.7,14.3,8.4,0.8,8.1,4.0,7.6,11.9,73.1,434.5,332.8,402.0,99.2,610.9,1039.9,97.8,788.3,1981.3,91.5,613.5,1557.3,499.5,-946.8,-999.0,844.3
1796,-999.0,23.9,84.6,-999.0,-999.0,30.9,14.6,17.5,7.7,3.4,7.1,3.0,7.5,17.5,240.9,596.7,360.0,405.1,83.3,693.3,884.2,95.3,229.0,713.4,78.0,622.8,961.2,1017.0,653.0,-999.0,1973.7
1797,-999.0,9.5,38.6,-999.0,-999.0,103.2,14.0,17.1,12.4,4.1,5.7,4.0,14.1,24.3,225.9,579.1,329.9,647.6,78.6,197.7,229.9,143.9,409.6,1566.8,58.0,430.2,733.8,711.0,227.6,-999.0,2600.2
1798,-999.0,17.3,49.2,-999.0,-999.0,148.5,14.1,25.7,6.1,3.1,7.0,3.6,13.9,17.6,359.5,198.8,225.1,743.7,59.0,819.3,157.1,119.7,292.1,1588.7,176.2,1451.9,1061.1,1408.5,153.1,-999.0,1411.6
